10/29/2025-10:17:30.809489  [**] [1:2029340:2] ET INFO TLS Handshake Failure [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 104.43.140.101:443 -> 172.18.21.74:58587
10/29/2025-10:17:34.506933  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.19.132:1631 -> 172.18.48.80:445
10/29/2025-10:17:42.480782  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.196:2722 -> 172.18.48.80:445
10/29/2025-10:17:43.252534  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.196:2722 -> 172.18.48.80:445
10/29/2025-10:18:08.387473  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57259 -> 210.241.69.194:80
10/29/2025-10:18:25.274821  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.133:1760 -> 172.18.48.80:445
10/29/2025-10:18:25.458124  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.133:1760 -> 172.18.48.80:445
10/29/2025-10:19:08.400140  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57262 -> 210.241.69.194:80
10/29/2025-10:20:04.467178  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.19.152:4340 -> 172.18.48.80:445
10/29/2025-10:20:04.493121  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.19.152:4340 -> 172.18.48.80:445
10/29/2025-10:20:08.386230  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57266 -> 210.241.69.194:80
10/29/2025-10:21:08.409688  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57270 -> 210.241.69.194:80
10/29/2025-10:21:55.218493  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.144:1935 -> 172.18.48.80:445
10/29/2025-10:21:55.681788  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.144:1935 -> 172.18.48.80:445
10/29/2025-10:22:06.035952  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.168:5433 -> 172.18.48.80:445
10/29/2025-10:22:06.227353  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.168:5434 -> 172.18.48.80:445
10/29/2025-10:22:08.411990  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57274 -> 210.241.69.194:80
10/29/2025-10:22:16.218370  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.170:9360 -> 172.18.48.80:445
10/29/2025-10:22:23.824980  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.21.215:61027 -> 118.214.255.18:80
10/29/2025-10:23:00.707765  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.20.187:2637 -> 172.18.48.80:445
10/29/2025-10:23:00.837589  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.20.187:2637 -> 172.18.48.80:445
10/29/2025-10:23:00.893426  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.20.187:2638 -> 172.18.48.80:445
10/29/2025-10:23:00.952833  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.20.187:2638 -> 172.18.48.80:445
10/29/2025-10:23:08.424460  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57277 -> 210.241.69.194:80
10/29/2025-10:23:59.525464  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.148:3369 -> 172.18.48.80:445
10/29/2025-10:24:08.439911  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57282 -> 210.241.69.194:80
10/29/2025-10:24:38.418875  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.110:4771 -> 172.18.48.80:445
10/29/2025-10:24:38.672197  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.110:4771 -> 172.18.48.80:445
10/29/2025-10:24:44.017759  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.129:1826 -> 172.16.16.56:445
10/29/2025-10:24:44.998220  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.129:1826 -> 172.16.16.56:445
10/29/2025-10:24:51.452455  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.45:8336 -> 172.18.48.80:445
10/29/2025-10:24:51.672598  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.45:8336 -> 172.18.48.80:445
10/29/2025-10:24:52.268366  [**] [1:2027863:5] ET INFO Observed DNS Query to .biz TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.18.18.37:55621 -> 172.18.1.120:53
10/29/2025-10:24:52.268570  [**] [1:2027863:5] ET INFO Observed DNS Query to .biz TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.18.18.37:57849 -> 172.18.1.120:53
10/29/2025-10:24:52.855741  [**] [1:2027863:5] ET INFO Observed DNS Query to .biz TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.18.18.37:49348 -> 172.18.1.120:53
10/29/2025-10:24:52.855954  [**] [1:2027863:5] ET INFO Observed DNS Query to .biz TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.18.18.37:57297 -> 172.18.1.120:53
10/29/2025-10:24:53.082377  [**] [1:2027863:5] ET INFO Observed DNS Query to .biz TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.18.18.37:59555 -> 172.18.1.120:53
10/29/2025-10:24:53.081200  [**] [1:2027863:5] ET INFO Observed DNS Query to .biz TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.18.18.37:54799 -> 172.18.1.120:53
10/29/2025-10:25:08.450554  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57285 -> 210.241.69.194:80
10/29/2025-10:25:51.486944  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.135:7304 -> 172.18.48.80:445
10/29/2025-10:25:51.998256  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.135:7304 -> 172.18.48.80:445
10/29/2025-10:25:52.185683  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.135:7307 -> 172.18.48.80:445
10/29/2025-10:25:52.300089  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.135:7307 -> 172.18.48.80:445
10/29/2025-10:26:08.442146  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57291 -> 210.241.69.194:80
10/29/2025-10:26:14.834554  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.219:7761 -> 172.18.48.80:445
